logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
,1,A man in a white shirt speaks into a microphone as other men gather behind him at a public event. This implies that a man in a white shirt is making a speech in front of a crowd.," ""A man in a white shirt speaks into a microphone."""," ""A man in a white shirt is making a speech in front of a crowd."""," IsInWhiteShirt(a),  SpeaksIntoMicrophone(a)"," IsMakingASpeech(d),  IsInFrontOfCrowd(e)","[(' IsInWhiteShirt(a)', ' IsMakingASpeech(d)'), ('  SpeaksIntoMicrophone(a)', ' IsMakingASpeech(d)')]",[],"[(' white shirt', ' A man in a white shirt'), (' white shirt', ' crowd')]",IsInWhiteShirt(a) and SpeaksIntoMicrophone(a),IsMakingASpeech(d) and IsInFrontOfCrowd(e),(IsInWhiteShirt(a) and SpeaksIntoMicrophone(a) & (forall d (forall a ( IsInWhiteShirt(a) ->  IsMakingASpeech(d)))) & (forall d (forall a (  SpeaksIntoMicrophone(a) ->  IsMakingASpeech(d))))) -> (IsMakingASpeech(d) and IsInFrontOfCrowd(e)),(exists a (IsInWhiteShirt(a) and SpeaksIntoMicrophone(a)) & (forall g (forall f ( IsInWhiteShirt(f) ->  IsMakingASpeech(g)))) & (forall h (forall i (  SpeaksIntoMicrophone(h) ->  IsMakingASpeech(i))))) -> (exists d (exists e (IsMakingASpeech(d) and IsInFrontOfCrowd(e))))
,1,A brown and white dog is chained up near a red chair. It follows that the dog is chained to a chair.,,,,,[],[],[],,,() -> (),() -> ()
,1,"This is when daddy taught her how to ride her scooter. Consequently, daddy taught her.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background. Therefore, the girl is outside."," ""The girl is outside."""," ""The girl is small and has short brown hair.""", IsOutside(a)," IsSmall(a),  HasShortBrownHair(a)","[(' IsSmall(a)', ' IsOutside(a)')]","[(' Girl', ' Girl')]","[(' small', ' Girl'), (' short brown hair.', ' Girl'), (' small', ' outside'), (' outside', ' short brown hair.')]",IsOutside(b),IsSmall(a) and HasShortBrownHair(a),(IsOutside(b) & (forall a ( IsSmall(a) ->  IsOutside(a)))) -> (IsSmall(a) and HasShortBrownHair(a)),(exists b (IsOutside(b)) & (forall e ( IsSmall(e) ->  IsOutside(e)))) -> (exists a (IsSmall(a) and HasShortBrownHair(a)))
,1,"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set. Hence, a man in a black hat is swinging with some children."," ""A man in a black hat is swinging with some children."""," ""A man in a black hat is suspended in the air on a swing."""," IsInBlackHat(a),  IsSwinging(a)"," IsSuspendedInAir(b),  IsOnSwing(c)",[],[],"[(' Man in a black hat', ''), (' swing', '')]",IsInBlackHat(a) and IsSwinging(a),IsSuspendedInAir(b) and IsOnSwing(c),(forall a (IsInBlackHat(a) and IsSwinging(a))) -> (exists c (exists b (IsSuspendedInAir(b) and IsOnSwing(c)))),(exists a (IsInBlackHat(a) and IsSwinging(a))) -> (exists b (exists c (IsSuspendedInAir(b) and IsOnSwing(c))))
,1,"A man with a blue, collared shirt sits in front of another man. This implies that a man sits in front of another man.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp. Therefore, a person rides a skateboard."," ""A young man rides a skateboard."""," ""A person rides a skateboard.""", IsRidesSkateboard(a), IsRidesSkateboard(a),[],"[(' skateboard', ' skateboard')]",[],IsYoung(b) and IsRidesSkateboard(a),IsRidesSkateboard(c),(IsYoung(b) and IsRidesSkateboard(a)) -> (IsRidesSkateboard(c)),(exists b (exists a (IsYoung(b) and IsRidesSkateboard(a)))) -> (exists c (IsRidesSkateboard(c)))
,1,"A large group of people walking in a busy city at night. Consequently, people are walking a city.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A group of people are walking by a van. Therefore, some people outdoors.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A white and a black dog fighting in a fenced in room. As a consequence, the dogs are fighting."," ""A white dog is fighting a black dog."""," ""The dogs are fighting in a fenced in room."""," IsWhite(a),  IsFighting(b)"," IsFightingIn(c,d)","[(' IsFightingIn(c,d)', '  IsFighting(b)')]",[],"[(' White dog', ' The dogs'), (' black dog', ' The dogs')]",IsWhite(a) and IsFighting(b),"IsFightingIn(c,d)","(exists b (exists a (IsWhite(a) and IsFighting(b))) & (forall d (forall b (forall c ( IsFightingIn(c,d) ->   IsFighting(b)))))) -> (forall c (IsFightingIn(c,d)))","(exists b (exists a (IsWhite(a) and IsFighting(b))) & (forall g (forall e (forall f ( IsFightingIn(e,f) ->   IsFighting(g)))))) -> (exists d (exists c (IsFightingIn(c,d))))"
,1,"A white greyhound dog wearing a muzzle runs around a track. Hence, the dog is racing other dogs."," ""A white greyhound dog wears a muzzle and runs around a track."""," ""The dog is racing other dogs."""," IsWhite(a),  WearsMuzzle(a),  RunsAroundTrack(a)"," IsRacing(b),  IsOtherDog(c)",[],[],[],IsWhite(a) and (WearsMuzzle(a) and RunsAroundTrack(a)),IsRacing(b) or IsOtherDog(c),(IsWhite(a) and (WearsMuzzle(a) and RunsAroundTrack(a))) -> (IsRacing(b) or IsOtherDog(c)),(exists a (IsWhite(a) and (WearsMuzzle(a) and RunsAroundTrack(a)))) -> (exists b (exists c (IsRacing(b) or IsOtherDog(c))))
,1,The pitcher is pitching the ball in a game of baseball. It follows that the pitcher throws the ball.,,,,,[],[],[],,,() -> (),() -> ()
,1,"Girl in a red coat, blue head wrap and jeans is making a snow angel. As a consequence, a girl outside plays in the snow."," ""A girl in a red coat, blue head wrap, and jeans is making a snow angel."""," ""A girl outside plays in the snow."""," IsInRedCoat(a),   IsInBlueHeadWrap(c),   IsInJeans(d)"," IsOutside(g),   IsInSnow(h)",[],[],"[(' Girl', ' A girl'), (' red coat', ' outside'), (' blue head wrap', ' outside'), (' snow angel.', ' outside'), (' snow angel.', ' snow')]",(IsInRedCoat(a) and IsInBlueHeadWrap(c)) and IsMakingSnowAngel(e),IsOutside(g) and IsInSnow(h),(exists e (exists c ((IsInRedCoat(a) and IsInBlueHeadWrap(c)) and IsMakingSnowAngel(e)))) -> (forall h (forall g (IsOutside(g) and IsInSnow(h)))),(exists e (exists a (exists c ((IsInRedCoat(a) and IsInBlueHeadWrap(c)) and IsMakingSnowAngel(e))))) -> (exists h (exists g (IsOutside(g) and IsInSnow(h))))
,1,"Men in an office with computers and a projector screen. Consequently, there are computers and a projector screen in the room.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A small child in a red jacket is sitting on a man's shoulders and holding his head. Therefore, the child's hands are on the man's head."," ""The child's hands are on the man's head."""," ""The child is on the man's shoulders."""," IsOn(a,b)"," IsOn(c,d)",[],[],[],"IsOn(a,b)","IsOn(c,d)","(IsOn(a,b)) -> (IsOn(c,d))","(exists b (exists a (IsOn(a,b)))) -> (exists d (exists c (IsOn(c,d))))"
,1,Three girls are standing and talking to each other. It follows that three girls are talking.," ""Three girls are standing and talking to each other."""," ""Three girls are talking."""," IsStanding(a),  AreTalkingToEachOther(a)", IsTalking(a),"[('  AreTalkingToEachOther(a)', ' IsTalking(a)'), (' IsTalking(a)', '  AreTalkingToEachOther(a)')]","[(' Three girls', ' Three girls')]",[],IsStanding(a) and AreTalkingToEachOther(a),IsTalking(a) and (IsTalking(a) or IsTalking(b) or IsTalking(c)),(IsStanding(a) and AreTalkingToEachOther(a) & (forall a (  AreTalkingToEachOther(a) ->  IsTalking(a))) & (forall a ( IsTalking(a) ->   AreTalkingToEachOther(a)))) -> (IsTalking(a) and (IsTalking(a) or IsTalking(b) or IsTalking(c))),(exists a (IsStanding(a) and AreTalkingToEachOther(a)) & (forall c (  AreTalkingToEachOther(c) ->  IsTalking(c))) & (forall d ( IsTalking(d) ->   AreTalkingToEachOther(d)))) -> (exists b (exists a (exists c (IsTalking(a) and (IsTalking(a) or IsTalking(b) or IsTalking(c))))))
,1,"a man with a cap and not wearing shirt is laying a wooden bench. Consequently, a man relaxes on a bench.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A man in a red shirt is being filmed by another man on a sports field with a huge audience of people watching and cheering. Therefore, the man is being filmed by another man."," ""A man is being filmed by another man."""," ""The man in the red shirt is being filmed by another man.""", IsBeingFilmedBy(b)," IsInRedShirt(c),  IsBeingFilmedBy(a)",[],"[(' another man.', ' another man.')]","[(' Man in the red shirt', ' A man'), (' another man.', ' A man'), (' Man in the red shirt', ' another man.')]",IsBeingFilmedBy(a),IsInRedShirt(c) and IsBeingFilmedBy(a),(forall a (IsBeingFilmedBy(a))) -> (exists c (IsInRedShirt(c) and IsBeingFilmedBy(a))),(exists a (IsBeingFilmedBy(a))) -> (exists a (exists c (IsInRedShirt(c) and IsBeingFilmedBy(a))))
,1,"A man in a suit cheering in a library in front of children. Thus, a guy is cheering near some children."," ""A man is cheering near some children."""," ""A man in a suit cheers in a library in front of children."""," IsCheering(b),  AreNear(a)"," IsInSuit(c),  IsInFrontOf(a),  IsInLibrary(d)","[('  IsInFrontOf(a)', ' IsCheering(b)'), ('  IsInFrontOf(a)', '  AreNear(a)')]","[(' children', ' children')]","[(' A man in a suit', ' Man')]",IsCheering(b) and AreNear(a),IsInSuit(c) and (IsInFrontOf(a) and IsInLibrary(d)),(forall b (IsCheering(b) and AreNear(a)) & (forall b (forall a (  IsInFrontOf(a) ->  IsCheering(b)))) & (forall a (  IsInFrontOf(a) ->   AreNear(a)))) -> (exists c (IsInSuit(c) and (IsInFrontOf(a) and IsInLibrary(d)))),(exists b (exists a (IsCheering(b) and AreNear(a))) & (forall e (forall f (  IsInFrontOf(e) ->  IsCheering(f)))) & (forall g (  IsInFrontOf(g) ->   AreNear(g)))) -> (exists d (exists a (exists c (IsInSuit(c) and (IsInFrontOf(a) and IsInLibrary(d))))))
,1,A man in suit waiting for the green light. This implies that a man waits at a red light.,,,,,[],[],[],,,() -> (),() -> ()
,1,"A man smokes while leaning against a pillar, which has a ""missing person"" flier posted on it. Thus, a guy smoking against a wall with a flier on it."," ""A man smokes against a pillar."""," ""A missing person is nearby."""," IsSmokesAgainst(a,b)"," IsMissing(c),  IsNearby(d)",[],[],"[(' nearby', ' pillar')]","IsSmokesAgainst(a,b)",IsMissing(c) and IsNearby(d),"(forall b (IsSmokesAgainst(a,b))) -> (exists d (IsMissing(c) and IsNearby(d)))","(exists b (exists a (IsSmokesAgainst(a,b)))) -> (exists d (exists c (IsMissing(c) and IsNearby(d))))"
,1,"A woman is standing at a podium. Thus, a person is at a podium."," ""A person is at a podium."""," ""A woman is at a podium."""," IsAt(a,b)"," IsAt(a,c)",[],"[(' podium', ' podium')]","[(' Woman', ' A person')]","IsAt(b,a)","IsAt(a,c)","(forall b (IsAt(b,a))) -> (exists c (IsAt(a,c)))","(exists b (exists a (IsAt(b,a)))) -> (exists a (exists c (IsAt(a,c))))"
,1,Four boys are about to be hit by an approaching wave. It follows that a wave is about hit some boys.,,,,,[],[],[],,,() -> (),() -> ()
,1,"people are sitting on a bench in front of buildings. Thus, some people are seated on a bench outside."," ""People are sitting on a bench."""," ""Some people are seated on a bench outside."""," IsSittingOn(b,a)"," IsSeatedOn(c,a),  IsOutside(d)","[(' IsSittingOn(b,a)', ' IsSeatedOn(c,a)'), (' IsSeatedOn(c,a)', ' IsSittingOn(b,a)'), ('  IsOutside(d)', ' IsSittingOn(b,a)')]","[(' bench', ' bench')]","[(' People', ' Some people'), (' Some people', ' bench'), (' bench', ' outside.')]","IsSittingOn(b,a)","IsSeatedOn(c,a) and IsOutside(d)","(forall a (exists b (IsSittingOn(b,a))) & (forall b (forall a (forall c ( IsSittingOn(b,a) ->  IsSeatedOn(c,a))))) & (forall b (forall a (forall c ( IsSeatedOn(c,a) ->  IsSittingOn(b,a))))) & (forall d (forall a (forall b (  IsOutside(d) ->  IsSittingOn(b,a)))))) -> (forall d (forall c (IsSeatedOn(c,a) and IsOutside(d))))","(exists b (exists a (IsSittingOn(b,a))) & (forall g (forall e (forall f ( IsSittingOn(e,f) ->  IsSeatedOn(g,f))))) & (forall h (forall j (forall i ( IsSeatedOn(h,i) ->  IsSittingOn(j,i))))) & (forall k (forall m (forall l (  IsOutside(k) ->  IsSittingOn(l,m)))))) -> (exists d (exists a (exists c (IsSeatedOn(c,a) and IsOutside(d)))))"
,1,The skateboarder is jumping his board in the air while another skateboarder watches. This implies that a skateboarder is jumping.," ""The skateboarder is jumping his board in the air."""," ""A skateboarder is jumping."""," IsJumping(a),  IsOnBoard(b),  IsInAir(c)", IsJumping(d),[],[],"[(' A skateboarder', ' Skateboarder'), (' board', ' A skateboarder')]",IsJumping(a) and IsOnBoard(b) and IsInAir(c),IsJumping(d),(exists b (forall a (IsJumping(a) and IsOnBoard(b) and IsInAir(c)))) -> (forall d (exists d (IsJumping(d)))),(exists b (exists a (exists c (IsJumping(a) and IsOnBoard(b) and IsInAir(c))))) -> (exists d (IsJumping(d)))
,1,"A man wearing a black hat and coat makes a face with a crowd behind him. As a consequence, a guy is standing near a crowd of people.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A group of soldiers march in a parade. Thus, a group of people march in a parade.",,,,,[],[],[],,,() -> (),() -> ()
,1,The 3 dogs are cruising down the street. This implies that three dogs together.,,,,,[],[],[],,,() -> (),() -> ()
,1,"The gentleman is speaking while the others are listening. As a consequence, the man is being given respect."," ""The gentleman is speaking."""," ""The man is being given respect.""", IsSpeaking(b)," IsGiven(c,d)",[],[],"[(' gentleman', ' Man'), (' respect', ' gentleman'), (' respect', ' speaker')]",IsSpeaking(a),"IsGiven(c,d)","(forall a (exists a (IsSpeaking(a)))) -> (exists d (forall c (IsGiven(c,d))))","(exists a (IsSpeaking(a))) -> (exists d (exists c (IsGiven(c,d))))"
,1,"One child in black is walking down a hill covered in white snow while 2 children are on their knees. Thus, there are three children in this picture, and they are all outside."," ""There are three children in this picture."""," ""All three children are outside.""", IsThree(a), IsOutside(b),"[(' IsThree(a)', ' IsOutside(b)'), (' IsOutside(b)', ' IsThree(a)')]",[],"[(' All three children', ' three children')]",IsThree(a),IsOutside(b),(forall a (IsThree(a)) & (forall b (forall a ( IsThree(a) ->  IsOutside(b)))) & (forall b (forall a ( IsOutside(b) ->  IsThree(a))))) -> (exists b (IsOutside(b))),(exists a (IsThree(a)) & (forall d (forall c ( IsThree(c) ->  IsOutside(d)))) & (forall e (forall f ( IsOutside(e) ->  IsThree(f))))) -> (exists b (IsOutside(b)))
,1,A group of people are sight seeing and taking pictures. It follows that there are a group of people.,,,,,[],[],[],,,() -> (),() -> ()
,1,"Army men grilling a lot of meat while his troop looks on. Hence, some of the people here have been in the armed forces."," ""Some people have been in the armed forces."""," ""Army men are grilling a lot of meat.""", IsInArmedForces(a)," IsGrilling(c),  IsMeat(d)",[],[],"[(' Army men', ' armed forces.')]",IsInArmedForces(a),IsGrilling(c) and IsMeat(d),(IsInArmedForces(a)) -> (IsGrilling(c) and IsMeat(d)),(exists a (IsInArmedForces(a))) -> (exists d (exists c (IsGrilling(c) and IsMeat(d))))
,1,"The basketball player in red is challenging the player in white for the ball. Consequently, people are playing basketball."," ""The basketball player in red is challenging the player in white for the ball."""," ""People are playing basketball."""," IsInRed(a),  IsChallenging(a)", IsPlayingBasketball(d),[],[],"[(' ball.', ' basketball')]",IsInRed(a) and IsChallenging(a) and ball(b),IsPlayingBasketball(d),(IsInRed(a) and IsChallenging(a) and ball(b)) -> (IsPlayingBasketball(d)),(exists b (exists a (IsInRed(a) and IsChallenging(a) and ball(b)))) -> (exists d (IsPlayingBasketball(d)))
,1,"A older man with gray hair wearing a gray suit next to a green and yellow taxi. Thus, a older man with gray hair wearing a gray suit."," ""An older man with gray hair wears a gray suit."""," ""A taxi is green and yellow."""," IsOlder(a),  HasGrayHair(b),  HasGraySuit(c)"," IsGreen(d),  IsYellow(d)",[],[],[],IsOlder(a) and HasGrayHair(b) and HasGraySuit(c),IsGreen(d) or IsYellow(d),(IsOlder(a) and HasGrayHair(b) and HasGraySuit(c)) -> (IsGreen(d) or IsYellow(d)),(exists b (exists a (exists c (IsOlder(a) and HasGrayHair(b) and HasGraySuit(c))))) -> (exists d (IsGreen(d) or IsYellow(d)))
,1,"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic. Hence, a woman is talking while a man is reaching for something."," ""A man is reaching for something."""," ""A woman is talking."""," IsReachingFor(a,b)", IsTalking(c),"[(' IsTalking(c)', ' IsReachingFor(a,b)')]",[],"[(' Woman', ' something'), (' talking', ' something')]","IsReachingFor(a,b)",IsTalking(c),"(forall b (IsReachingFor(a,b)) & (forall b (forall a (forall c ( IsTalking(c) ->  IsReachingFor(a,b)))))) -> (exists c (IsTalking(c)))","(exists b (exists a (IsReachingFor(a,b))) & (forall g (forall e (forall f ( IsTalking(e) ->  IsReachingFor(f,g)))))) -> (exists c (IsTalking(c)))"
,1,A crowd watching a skateboarder. This implies that a person is skateboarding.,,,,,[],[],[],,,() -> (),() -> ()
,1,"A male guitar player is vigorously singing a not to a song in a poorly lit room. As a consequence, a man is singing indoors."," ""A male guitar player is vigorously singing a not to a song in a poorly lit room."""," ""A man is singing indoors."""," IsMale(a),  IsSinging(a),  IsInPoorlyLitRoom(c)"," IsSinging(d),  IsIndoors(e)","[(' IsMale(a)', ' IsSinging(d)')]",[],"[(' poorly lit room.', ' indoors')]",IsMale(a) and IsSinging(a) and IsInPoorlyLitRoom(c),IsSinging(d) and IsIndoors(e),(exists c (IsMale(a) and IsSinging(a) and IsInPoorlyLitRoom(c)) & (forall d (forall a ( IsMale(a) ->  IsSinging(d))))) -> (forall e (IsSinging(d) and IsIndoors(e))),(exists a (exists c (IsMale(a) and IsSinging(a) and IsInPoorlyLitRoom(c))) & (forall g (forall f ( IsMale(f) ->  IsSinging(g))))) -> (exists d (exists e (IsSinging(d) and IsIndoors(e))))
,1,"The sun breaks through the trees as a child rides a swing. Thus, a child rides a swing in the daytime."," ""A child rides a swing in the daytime."""," ""The sun breaks through the trees."""," IsRidden(a,b),  IsDuringDaytime(c)"," IsBreakingThrough(d),  IsInTrees(e)",[],[],"[(' daytime', ' The sun')]","IsRidden(a,b) and IsDuringDaytime(c)",IsBreakingThrough(d) and IsInTrees(e),"(exists c (IsRidden(a,b) and IsDuringDaytime(c))) -> (forall d (IsBreakingThrough(d) and IsInTrees(e)))","(exists b (exists a (exists c (IsRidden(a,b) and IsDuringDaytime(c))))) -> (exists d (exists e (IsBreakingThrough(d) and IsInTrees(e))))"
