logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
appeal to emotion,0,"If your anxiety about global warming is dominated by fears of sea-level rise , you are barely scratching the surface of what terrors are possible , even within the lifetime of a teenager today ."," ""Anxiety about global warming is dominated by fears of sea-level rise.""  "," ""Fears of what terrors are possible are not fully understood.""","IsDominatedBy(b, a),  HasFearOf(a, c)","IsOfConcern(a, d),  IsNotFullyUnderstood(a)",[],"[(' fears', ' Fears')]",[],"IsDominatedBy(b, a) and HasFearOf(a, c)","IsOfConcern(a, d) and IsNotFullyUnderstood(a)","(IsDominatedBy(b, a) and HasFearOf(a, c)) -> (IsOfConcern(a, d) and IsNotFullyUnderstood(a))","(exists c (exists b (exists a (IsDominatedBy(b, a) and HasFearOf(a, c))))) -> (exists d (exists a (IsOfConcern(a, d) and IsNotFullyUnderstood(a))))"
intentional,0,"Skeptics have long pointed to ice gain in the Southern Hemisphere as evidence climate change wasn ’ t occurring , but scientists warned that it was caused by natural variations and circulations in the atmosphere ."," ""Skeptics pointed to ice gain in the Southern Hemisphere as evidence climate change wasn't occurring.""  "," ""Climate change is occurring.""","PointsTo(b, c),  IsInSouthernHemisphere(c),  IsEvidenceFor(e, a),  IsNotOccurring(a)",IsOccurring(a),[],"[(' climate change', ' Climate change')]",[],"PointsTo(b, c) and IsInSouthernHemisphere(c) and IsEvidenceFor(e, a) and IsNotOccurring(a)",IsOccurring(a),"(PointsTo(b, c) and IsInSouthernHemisphere(c) and IsEvidenceFor(e, a) and IsNotOccurring(a)) -> (IsOccurring(a))","(exists c (exists e (exists b (exists a (PointsTo(b, c) and IsInSouthernHemisphere(c) and IsEvidenceFor(e, a) and IsNotOccurring(a)))))) -> (exists a (IsOccurring(a)))"
intentional,0,"Furthermore , the overall increases in such things as hurricanes and tornadoes have not materialized . Drought in the western U.S. pales in comparison to the mega-droughts tree rings tell us existed in centuries past . Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past . Strong Sandy-type storms occur every year in all the major ocean basins… they just don ’ t happen to hit major metropolitan areas ."," ""Recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past.""  "," ""Overall increases in hurricanes and tornadoes have not materialized.""","IsRecent(a),  IsMajor(a),  IsInGulfOfMexico(a),  IsLessFrequentThan(a, c)","IsOverall(d),  IsIncreased(d),  HasHurricanes(e),  HasTornadoes(f),  HaveNotMaterialized(d)",[],[],"[(' Recent major hurricane activity', ' hurricanes')]","IsRecent(a) and IsMajor(a) and IsInGulfOfMexico(a) and IsLessFrequentThan(a, c)",(IsOverall(d) and IsIncreased(d) and HasHurricanes(e) and HasTornadoes(f)) and HaveNotMaterialized(d),"(exists a (IsRecent(a) and IsMajor(a) and IsInGulfOfMexico(a) and IsLessFrequentThan(a, c))) -> (forall e ((IsOverall(d) and IsIncreased(d) and HasHurricanes(e) and HasTornadoes(f)) and HaveNotMaterialized(d)))","(exists c (exists a (IsRecent(a) and IsMajor(a) and IsInGulfOfMexico(a) and IsLessFrequentThan(a, c)))) -> (exists e (exists d (exists f ((IsOverall(d) and IsIncreased(d) and HasHurricanes(e) and HasTornadoes(f)) and HaveNotMaterialized(d)))))"
ad hominem,0,Should we trust these computer models of doom ?," ""These computer models of doom may not be trustworthy.""  "," ""People should not trust these computer models of doom.""",IsTrustworthy(a),IsTrustworthy(a),[],"[(' These computer models of doom', ' these computer models of doom')]",[],~IsTrustworthy(a),"~IsTrustworthy(a) and ~Trust(b,a)","(~IsTrustworthy(a)) -> (~IsTrustworthy(a) and ~Trust(b,a))","(exists a (~IsTrustworthy(a))) -> (exists b (exists a (~IsTrustworthy(a) and ~Trust(b,a))))"
false causality,0,"The rise in Arctic temperatures is probably also tied to a sudden warming of the stratosphere , the atmospheric layer about 30,000 feet high — above where most weather happens — that occurred several weeks ago , Moore said ."," ""The rise in Arctic temperatures is tied to a sudden warming of the stratosphere.""  "," ""The sudden warming of the stratosphere affects Arctic temperatures.""","IsTiedTo(a,b),  IsWarming(b,c)","IsAffecting(d,e)",[],[],"[(' The rise in Arctic temperatures', ' Arctic temperatures'), (' a sudden warming', ' The sudden warming of the stratosphere')]","IsTiedTo(a,b) and IsWarming(b,c)","IsAffecting(d,e)","(exists b (exists a (IsTiedTo(a,b) and IsWarming(b,c)))) -> (forall d (forall e (IsAffecting(d,e))))","(exists c (exists b (exists a (IsTiedTo(a,b) and IsWarming(b,c))))) -> (exists e (exists d (IsAffecting(d,e))))"
false dilemma,0,The World Coal Association disputed the conclusion that stopping global warming calls for an end of coal use .," ""The World Coal Association disputes the conclusion that stopping global warming calls for an end of coal use.""  "," ""Stopping global warming does not call for an end of coal use.""","Disputes(c,b),  CallsFor(d,a)","DoesNotCallFor(e,f)",[],"[(' global warming', ' global warming')]",[],"Disputes(c,b) and ~CallsFor(d,a)","DoesNotCallFor(e,f) and ~IsStopping(a)","(Disputes(c,b) and ~CallsFor(d,a)) -> (DoesNotCallFor(e,f) and ~IsStopping(a))","(exists c (exists d (exists b (exists a (Disputes(c,b) and ~CallsFor(d,a)))))) -> (exists e (exists f (exists a (DoesNotCallFor(e,f) and ~IsStopping(a)))))"
fallacy of logic,0,The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is .," ""Carbon dioxide is not a pollutant.""  "," ""It is dishonest to say carbon dioxide is a pollutant.""",IsNotPollutant(a),"IsDishonestToSay(a,b),  IsPollutant(a)","[('IsNotPollutant(a)', 'IsDishonestToSay(a,b)'), ('IsDishonestToSay(a,b)', 'IsNotPollutant(a)')]","[(' Carbon dioxide', ' carbon dioxide')]","[(' Carbon dioxide', ' a pollutant')]",IsNotPollutant(a),"IsDishonestToSay(a,b) and IsPollutant(a)","(exists a (IsNotPollutant(a)) & (forall b (forall a (IsNotPollutant(a) -> IsDishonestToSay(a,b)))) & (forall b (forall a (IsDishonestToSay(a,b) -> IsNotPollutant(a))))) -> (forall b (IsDishonestToSay(a,b) and IsPollutant(a)))","(exists a (IsNotPollutant(a)) & (forall e (forall d (IsNotPollutant(d) -> IsDishonestToSay(d,e)))) & (forall f (forall g (IsDishonestToSay(f,g) -> IsNotPollutant(f))))) -> (exists b (exists a (IsDishonestToSay(a,b) and IsPollutant(a))))"
appeal to emotion,0,"“ It ’ s sobering to think of this magnificent landscape and how fundamentally it can change over a relatively short time period , ” he added ."," ""The magnificent landscape can change over a relatively short time period.""  "," ""The magnificent landscape will change.""","IsMagnificent(a),  CanChange(a),  IsRelativelyShort(b)","IsMagnificent(a),  WillChange(a)","[('  WillChange(a)', '  CanChange(a)')]","[(' The magnificent landscape', ' The magnificent landscape')]",[],IsMagnificent(a) and IsRelativelyShort(b) and CanChange(a),IsMagnificent(a) and WillChange(a),(IsMagnificent(a) and IsRelativelyShort(b) and CanChange(a) & (forall a (  WillChange(a) ->   CanChange(a)))) -> (IsMagnificent(a) and WillChange(a)),(exists b (exists a (IsMagnificent(a) and IsRelativelyShort(b) and CanChange(a))) & (forall c (  WillChange(c) ->   CanChange(c)))) -> (exists a (IsMagnificent(a) and WillChange(a)))
fallacy of credibility,0,"NASA honored him for this achievement , and he was an author for a previous edition of the U.N. report . He told a House Science Committee hearing in March 2017 that the U.N. climate models have failed badly . Christy compared the average model projections since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics ."," ""He was honored by NASA for an achievement.""  "," ""The U.N. climate models have failed badly.""","IsHonoredBy(a, b),  HasAchievement(a, c)",FailedBadly(d),[],[],[],"IsHonoredBy(a, b) and HasAchievement(a, c)",FailedBadly(d),"(IsHonoredBy(a, b) and HasAchievement(a, c)) -> (FailedBadly(d))","(exists c (exists b (exists a (IsHonoredBy(a, b) and HasAchievement(a, c))))) -> (exists d (FailedBadly(d)))"
appeal to emotion,0,"The 2009 Black Saturday bushfires , which claimed the lives of 173 Australians , are etched into the national consciousness . But in the heatwave that led up to the fires , the number of deaths soared ."," ""The 2009 Black Saturday bushfires claimed the lives of 173 Australians.""  "," ""The heatwave led to a rise in the number of deaths.""","ClaimedLives(a, c)","LedTo(d, e),  HasNumberOfDeaths(e, f)",[],[],[],"ClaimedLives(a, c)","LedTo(d, e) and HasNumberOfDeaths(e, f)","(ClaimedLives(a, c)) -> (LedTo(d, e) and HasNumberOfDeaths(e, f))","(exists c (exists a (ClaimedLives(a, c)))) -> (exists e (exists d (exists f (LedTo(d, e) and HasNumberOfDeaths(e, f)))))"
fallacy of credibility,0,Anew study produced by a University of Wisconsin-Madison geoscientist and Northwestern astrophysicist presents an explanation of the fluctuations of the earth 's temperatures that global warming alarmists are going to make sure to bury :, A new study presents an explanation of the fluctuations of the earth's temperatures.  , Global warming alarmists are going to bury the study.,"PresentsExplanation(a, b),  HasFluctuations(c),  IsOfEarthsTemperatures(c, d)","IsGoingToBury(e, a)",[],"[(' A new study', ' the study')]",[],"PresentsExplanation(a, b) and HasFluctuations(c) and IsOfEarthsTemperatures(c, d)","IsGoingToBury(e, a)","(PresentsExplanation(a, b) and HasFluctuations(c) and IsOfEarthsTemperatures(c, d)) -> (IsGoingToBury(e, a))","(exists c (exists d (exists b (exists a (PresentsExplanation(a, b) and HasFluctuations(c) and IsOfEarthsTemperatures(c, d)))))) -> (exists e (exists a (IsGoingToBury(e, a))))"
ad hominem,0,Global warming activists ’ propensity for doing so shows just how little value they place in a truthful debate .," ""Global warming activists show little value in a truthful debate.""  "," ""Global warming activists do not value truthful debate.""","ShowsLittleValue(a,b)","ValuesTruthfulDebate(a, b)",[],"[(' Global warming activists', ' Global warming activists'), (' a truthful debate', ' truthful debate')]",[],"ShowsLittleValue(a,b)","~ValuesTruthfulDebate(a, b)","(ShowsLittleValue(a,b)) -> (~ValuesTruthfulDebate(a, b))","(exists b (exists a (ShowsLittleValue(a,b)))) -> (exists b (exists a (~ValuesTruthfulDebate(a, b))))"
intentional,0,"Some one billion people would be forced to attempt to relocate from unlivable conditions , and two billion would face scarcity of water supplies . Agriculture would collapse in the sub-tropics , and food production would suffer dramatically worldwide . The internal cohesion of nation-states like the US and China would unravel ."," ""One billion people would be forced to attempt to relocate from unlivable conditions.""  "," ""Agriculture would collapse in the sub-tropics and food production would suffer dramatically worldwide.""","IsForced(a),  IsInUnlivableConditions(a)","WouldCollapse(c, d),  WouldSufferDramatically(e, f)",[],[],[],IsForced(a) and IsInUnlivableConditions(a),"WouldCollapse(c, d) and WouldSufferDramatically(e, f)","(IsForced(a) and IsInUnlivableConditions(a)) -> (WouldCollapse(c, d) and WouldSufferDramatically(e, f))","(exists a (IsForced(a) and IsInUnlivableConditions(a))) -> (exists c (exists e (exists d (exists f (WouldCollapse(c, d) and WouldSufferDramatically(e, f))))))"
appeal to emotion,0,"Interstates are under feet of water , local authorities have asked boat owners to join rescue efforts , and most of the streams and rivers near the city are in flood stage ."," ""Interstates are under feet of water.""  "," ""Boat owners should join rescue efforts.""","IsUnderWater(a, c),  HasFeetOfWater(a, b)","IsBoatOwner(d),  ShouldJoin(d, e)",[],[],[],"IsUnderWater(a, c) and HasFeetOfWater(a, b)","IsBoatOwner(d) and ShouldJoin(d, e)","(IsUnderWater(a, c) and HasFeetOfWater(a, b)) -> (IsBoatOwner(d) and ShouldJoin(d, e))","(exists c (exists b (exists a (IsUnderWater(a, c) and HasFeetOfWater(a, b))))) -> (exists e (exists d (IsBoatOwner(d) and ShouldJoin(d, e))))"
appeal to emotion,0,"Even then , the report found that polar bears were moving from ice to land earlier and staying on land longer , unhealthily extending the bears ' fasting season . By the end of summer , most bears studied by the World Wildlife Fund showed signs of starvation . Fifteen years later , polar bears ' icy hunting grounds are in even worse shape ."," ""Polar bears are moving from ice to land earlier and staying on land longer.""  "," ""Polar bears are showing signs of starvation.""","IsMovingFromIceToLand(a, b, c),  IsStayingOnLandLonger(a, c)",IsShowingSignsOfStarvation(a),[],"[(' Polar bears', ' Polar bears')]",[],"IsMovingFromIceToLand(a, b, c) and IsStayingOnLandLonger(a, c)",IsShowingSignsOfStarvation(a),"(IsMovingFromIceToLand(a, b, c) and IsStayingOnLandLonger(a, c)) -> (IsShowingSignsOfStarvation(a))","(exists c (exists b (exists a (IsMovingFromIceToLand(a, b, c) and IsStayingOnLandLonger(a, c))))) -> (exists a (IsShowingSignsOfStarvation(a)))"
intentional,0,"If ECS is as low as the Energy Balance literature suggests , it means that the climate models we have been using for decades run too hot and need to be revised ."," ""ECS is as low as the Energy Balance literature suggests.""  "," ""The climate models run too hot and need to be revised.""","IsLow(a),  Suggests(b)","IsRunTooHot(c),  NeedsRevised(c)",[],[],[],IsLow(a) <and Suggests(b),IsRunTooHot(c) and NeedsRevised(c),(IsLow(a) <and Suggests(b)) -> (IsRunTooHot(c) and NeedsRevised(c)),(exists b (exists a (IsLow(a) <and Suggests(b)))) -> (exists c (IsRunTooHot(c) and NeedsRevised(c)))
false dilemma,0,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weather—which is almost everywhere .", The cost of weather disasters has risen over time due to modern society building more infrastructure in areas prone to damage from weather.  , Modern society is building infrastructure in areas prone to damage from weather.,"HasIncreased(f),  IsCausedByModernSociety(g, a),  IsBuiltInAreas(b, c),  IsProneToDamage(c, d),  IsRelatedToWeather(c, e)","HasBuilt(a, b),  IsInAreas(b, c),  IsProneToDamage(c, d),  IsRelatedToWeather(c, e)",[],"[(' modern society', ' Modern society'), (' infrastructure', ' infrastructure'), (' areas', ' areas'), (' damage', ' damage'), (' weather.', ' weather')]","[(' weather disasters', ' weather')]","HasIncreased(f) and IsCausedByModernSociety(g, a) and IsBuiltInAreas(b, c) and IsProneToDamage(c, d) and IsRelatedToWeather(c, e)","HasBuilt(a, b) and IsInAreas(b, c) and IsProneToDamage(c, d) and IsRelatedToWeather(c, e)","(exists g (HasIncreased(f) and IsCausedByModernSociety(g, a) and IsBuiltInAreas(b, c) and IsProneToDamage(c, d) and IsRelatedToWeather(c, e))) -> (forall e (HasBuilt(a, b) and IsInAreas(b, c) and IsProneToDamage(c, d) and IsRelatedToWeather(c, e)))","(exists d (exists a (exists c (exists f (exists e (exists b (exists g (HasIncreased(f) and IsCausedByModernSociety(g, a) and IsBuiltInAreas(b, c) and IsProneToDamage(c, d) and IsRelatedToWeather(c, e))))))))) -> (exists d (exists a (exists c (exists e (exists b (HasBuilt(a, b) and IsInAreas(b, c) and IsProneToDamage(c, d) and IsRelatedToWeather(c, e)))))))"
intentional,0,Construction and maintenance of wind and solar facilities ­release far more carbon dioxide than they are meant to save over their working lives and they need to be sup­ported 24/7 by coal-fired generators .," ""Construction and maintenance of wind and solar facilities release far more carbon dioxide than they are meant to save.""  "," ""Wind and solar facilities need to be supported by coal-fired generators.""","ReleasesMoreCarbonDioxide(a,b,c,d,e),  IsMeantToSave(e)","IsSupportedBy(f, g)",[],[],"[(' wind facilities', ' Wind and solar facilities'), (' solar facilities', ' Wind and solar facilities')]","ReleasesMoreCarbonDioxide(a,b,c,d,e) and ~IsMeantToSave(e)","IsSupportedBy(f, g)","(exists d (exists c (ReleasesMoreCarbonDioxide(a,b,c,d,e) and ~IsMeantToSave(e)))) -> (forall f (IsSupportedBy(f, g)))","(exists d (exists a (exists c (exists e (exists b (ReleasesMoreCarbonDioxide(a,b,c,d,e) and ~IsMeantToSave(e))))))) -> (exists f (exists g (IsSupportedBy(f, g))))"
